image,breed_id,species,breed
miniature_pinscher_98,19,dog,miniature_pinscher
Bengal_54,9,cat,Bengal
Bombay_10,3,cat,Bombay
boxer_27,17,dog,boxer
British_Shorthair_2,8,cat,British_Shorthair
Birman_135,10,cat,Birman
British_Shorthair_33,8,cat,British_Shorthair
american_bulldog_221,36,dog,american_bulldog
miniature_pinscher_94,19,dog,miniature_pinscher
Ragdoll_78,2,cat,Ragdoll
japanese_chin_20,22,dog,japanese_chin
yorkshire_terrier_40,25,dog,yorkshire_terrier
British_Shorthair_61,8,cat,British_Shorthair
Persian_108,1,cat,Persian
boxer_95,17,dog,boxer
boxer_60,17,dog,boxer
leonberger_95,18,dog,leonberger
yorkshire_terrier_185,25,dog,yorkshire_terrier
Maine_Coon_23,4,cat,Maine_Coon
pomeranian_161,31,dog,pomeranian
Persian_190,1,cat,Persian
english_cocker_spaniel_151,29,dog,english_cocker_spaniel
basset_hound_84,33,dog,basset_hound
pomeranian_143,31,dog,pomeranian
beagle_20,35,dog,beagle
yorkshire_terrier_58,25,dog,yorkshire_terrier
german_shorthaired_96,15,dog,german_shorthaired
german_shorthaired_62,15,dog,german_shorthaired
wheaten_terrier_112,14,dog,wheaten_terrier
Siamese_42,5,cat,Siamese
wheaten_terrier_107,14,dog,wheaten_terrier
British_Shorthair_85,8,cat,British_Shorthair
american_pit_bull_terrier_161,26,dog,american_pit_bull_terrier
newfoundland_193,34,dog,newfoundland
newfoundland_56,34,dog,newfoundland
Ragdoll_126,2,cat,Ragdoll
Sphynx_203,7,cat,Sphynx
japanese_chin_82,22,dog,japanese_chin
keeshond_38,28,dog,keeshond
Maine_Coon_61,4,cat,Maine_Coon
beagle_154,35,dog,beagle
Persian_43,1,cat,Persian
great_pyrenees_56,12,dog,great_pyrenees
Birman_77,10,cat,Birman
basset_hound_199,33,dog,basset_hound
yorkshire_terrier_126,25,dog,yorkshire_terrier
Siamese_159,5,cat,Siamese
Bengal_75,9,cat,Bengal
english_setter_180,21,dog,english_setter
great_pyrenees_124,12,dog,great_pyrenees
shiba_inu_58,20,dog,shiba_inu
wheaten_terrier_41,14,dog,wheaten_terrier
Russian_Blue_34,11,cat,Russian_Blue
keeshond_79,28,dog,keeshond
japanese_chin_42,22,dog,japanese_chin
Persian_192,1,cat,Persian
american_pit_bull_terrier_139,26,dog,american_pit_bull_terrier
pug_96,27,dog,pug
newfoundland_55,34,dog,newfoundland
great_pyrenees_116,12,dog,great_pyrenees
leonberger_97,18,dog,leonberger
english_setter_35,21,dog,english_setter
shiba_inu_69,20,dog,shiba_inu
chihuahua_112,23,dog,chihuahua
Birman_44,10,cat,Birman
english_setter_124,21,dog,english_setter
american_bulldog_29,36,dog,american_bulldog
german_shorthaired_37,15,dog,german_shorthaired
Ragdoll_137,2,cat,Ragdoll
Persian_150,1,cat,Persian
english_cocker_spaniel_80,29,dog,english_cocker_spaniel
wheaten_terrier_14,14,dog,wheaten_terrier
american_pit_bull_terrier_165,26,dog,american_pit_bull_terrier
wheaten_terrier_63,14,dog,wheaten_terrier
Russian_Blue_9,11,cat,Russian_Blue
basset_hound_157,33,dog,basset_hound
Sphynx_41,7,cat,Sphynx
boxer_122,17,dog,boxer
Birman_103,10,cat,Birman
leonberger_101,18,dog,leonberger
german_shorthaired_21,15,dog,german_shorthaired
keeshond_103,28,dog,keeshond
shiba_inu_141,20,dog,shiba_inu
Sphynx_61,7,cat,Sphynx
newfoundland_48,34,dog,newfoundland
american_pit_bull_terrier_86,26,dog,american_pit_bull_terrier
saint_bernard_166,32,dog,saint_bernard
Bengal_195,9,cat,Bengal
Ragdoll_203,2,cat,Ragdoll
samoyed_3,16,dog,samoyed
shiba_inu_198,20,dog,shiba_inu
British_Shorthair_102,8,cat,British_Shorthair
american_pit_bull_terrier_150,26,dog,american_pit_bull_terrier
samoyed_121,16,dog,samoyed
havanese_180,13,dog,havanese
havanese_17,13,dog,havanese
Persian_137,1,cat,Persian
japanese_chin_179,22,dog,japanese_chin
leonberger_57,18,dog,leonberger
havanese_147,13,dog,havanese
miniature_pinscher_2,19,dog,miniature_pinscher
Persian_259,1,cat,Persian
British_Shorthair_40,8,cat,British_Shorthair
shiba_inu_80,20,dog,shiba_inu
havanese_164,13,dog,havanese
Sphynx_192,7,cat,Sphynx
Ragdoll_119,2,cat,Ragdoll
British_Shorthair_203,8,cat,British_Shorthair
wheaten_terrier_149,14,dog,wheaten_terrier
newfoundland_133,34,dog,newfoundland
Persian_156,1,cat,Persian
japanese_chin_18,22,dog,japanese_chin
basset_hound_132,33,dog,basset_hound
Russian_Blue_109,11,cat,Russian_Blue
chihuahua_138,23,dog,chihuahua
Maine_Coon_145,4,cat,Maine_Coon
german_shorthaired_50,15,dog,german_shorthaired
yorkshire_terrier_44,25,dog,yorkshire_terrier
basset_hound_80,33,dog,basset_hound
english_setter_100,21,dog,english_setter
keeshond_32,28,dog,keeshond
english_cocker_spaniel_4,29,dog,english_cocker_spaniel
chihuahua_120,23,dog,chihuahua
newfoundland_151,34,dog,newfoundland
shiba_inu_61,20,dog,shiba_inu
havanese_89,13,dog,havanese
saint_bernard_47,32,dog,saint_bernard
basset_hound_101,33,dog,basset_hound
Siamese_103,5,cat,Siamese
Bengal_123,9,cat,Bengal
staffordshire_bull_terrier_185,30,dog,staffordshire_bull_terrier
american_pit_bull_terrier_147,26,dog,american_pit_bull_terrier
leonberger_18,18,dog,leonberger
scottish_terrier_100,24,dog,scottish_terrier
english_cocker_spaniel_60,29,dog,english_cocker_spaniel
wheaten_terrier_20,14,dog,wheaten_terrier
keeshond_81,28,dog,keeshond
japanese_chin_38,22,dog,japanese_chin
basset_hound_16,33,dog,basset_hound
english_setter_139,21,dog,english_setter
pug_111,27,dog,pug
Russian_Blue_99,11,cat,Russian_Blue
american_pit_bull_terrier_100,26,dog,american_pit_bull_terrier
Abyssinian_193,6,cat,Abyssinian
wheaten_terrier_99,14,dog,wheaten_terrier
Siamese_209,5,cat,Siamese
Sphynx_14,7,cat,Sphynx
leonberger_124,18,dog,leonberger
Russian_Blue_202,11,cat,Russian_Blue
leonberger_84,18,dog,leonberger
scottish_terrier_187,24,dog,scottish_terrier
Siamese_160,5,cat,Siamese
pomeranian_173,31,dog,pomeranian
keeshond_200,28,dog,keeshond
samoyed_126,16,dog,samoyed
beagle_181,35,dog,beagle
american_bulldog_14,36,dog,american_bulldog
wheaten_terrier_53,14,dog,wheaten_terrier
yorkshire_terrier_192,25,dog,yorkshire_terrier
great_pyrenees_46,12,dog,great_pyrenees
Bombay_49,3,cat,Bombay
wheaten_terrier_135,14,dog,wheaten_terrier
staffordshire_bull_terrier_173,30,dog,staffordshire_bull_terrier
Bengal_147,9,cat,Bengal
english_cocker_spaniel_75,29,dog,english_cocker_spaniel
english_setter_193,21,dog,english_setter
Abyssinian_113,6,cat,Abyssinian
havanese_63,13,dog,havanese
chihuahua_94,23,dog,chihuahua
staffordshire_bull_terrier_52,30,dog,staffordshire_bull_terrier
Maine_Coon_254,4,cat,Maine_Coon
boxer_190,17,dog,boxer
Abyssinian_75,6,cat,Abyssinian
japanese_chin_197,22,dog,japanese_chin
Persian_195,1,cat,Persian
Bengal_178,9,cat,Bengal
pomeranian_99,31,dog,pomeranian
Sphynx_251,7,cat,Sphynx
samoyed_199,16,dog,samoyed
Ragdoll_12,2,cat,Ragdoll
Siamese_46,5,cat,Siamese
scottish_terrier_150,24,dog,scottish_terrier
keeshond_192,28,dog,keeshond
havanese_181,13,dog,havanese
British_Shorthair_162,8,cat,British_Shorthair
german_shorthaired_189,15,dog,german_shorthaired
american_pit_bull_terrier_199,26,dog,american_pit_bull_terrier
Sphynx_92,7,cat,Sphynx
Egyptian_Mau_112,0,cat,Egyptian_Mau
japanese_chin_103,22,dog,japanese_chin
japanese_chin_19,22,dog,japanese_chin
Egyptian_Mau_101,0,cat,Egyptian_Mau
american_bulldog_39,36,dog,american_bulldog
basset_hound_56,33,dog,basset_hound
boxer_128,17,dog,boxer
leonberger_36,18,dog,leonberger
samoyed_77,16,dog,samoyed
samoyed_83,16,dog,samoyed
samoyed_174,16,dog,samoyed
Persian_169,1,cat,Persian
american_bulldog_9,36,dog,american_bulldog
english_cocker_spaniel_91,29,dog,english_cocker_spaniel
Egyptian_Mau_199,0,cat,Egyptian_Mau
havanese_148,13,dog,havanese
British_Shorthair_72,8,cat,British_Shorthair
Birman_50,10,cat,Birman
english_cocker_spaniel_181,29,dog,english_cocker_spaniel
german_shorthaired_112,15,dog,german_shorthaired
Bombay_95,3,cat,Bombay
havanese_200,13,dog,havanese
shiba_inu_129,20,dog,shiba_inu
pug_149,27,dog,pug
saint_bernard_45,32,dog,saint_bernard
staffordshire_bull_terrier_5,30,dog,staffordshire_bull_terrier
British_Shorthair_186,8,cat,British_Shorthair
wheaten_terrier_164,14,dog,wheaten_terrier
english_setter_91,21,dog,english_setter
Egyptian_Mau_136,0,cat,Egyptian_Mau
Ragdoll_166,2,cat,Ragdoll
Birman_73,10,cat,Birman
British_Shorthair_10,8,cat,British_Shorthair
Sphynx_229,7,cat,Sphynx
shiba_inu_202,20,dog,shiba_inu
saint_bernard_42,32,dog,saint_bernard
japanese_chin_15,22,dog,japanese_chin
yorkshire_terrier_175,25,dog,yorkshire_terrier
beagle_47,35,dog,beagle
Egyptian_Mau_121,0,cat,Egyptian_Mau
Bombay_55,3,cat,Bombay
Russian_Blue_226,11,cat,Russian_Blue
Bengal_93,9,cat,Bengal
american_bulldog_216,36,dog,american_bulldog
basset_hound_72,33,dog,basset_hound
keeshond_127,28,dog,keeshond
saint_bernard_53,32,dog,saint_bernard
american_bulldog_24,36,dog,american_bulldog
chihuahua_124,23,dog,chihuahua
scottish_terrier_44,24,dog,scottish_terrier
shiba_inu_9,20,dog,shiba_inu
Birman_79,10,cat,Birman
beagle_119,35,dog,beagle
leonberger_78,18,dog,leonberger
miniature_pinscher_132,19,dog,miniature_pinscher
japanese_chin_74,22,dog,japanese_chin
scottish_terrier_22,24,dog,scottish_terrier
Abyssinian_58,6,cat,Abyssinian
boxer_113,17,dog,boxer
Maine_Coon_193,4,cat,Maine_Coon
great_pyrenees_91,12,dog,great_pyrenees
Bengal_154,9,cat,Bengal
yorkshire_terrier_84,25,dog,yorkshire_terrier
Bombay_144,3,cat,Bombay
Birman_58,10,cat,Birman
scottish_terrier_45,24,dog,scottish_terrier
leonberger_4,18,dog,leonberger
scottish_terrier_104,24,dog,scottish_terrier
newfoundland_61,34,dog,newfoundland
British_Shorthair_41,8,cat,British_Shorthair
japanese_chin_161,22,dog,japanese_chin
British_Shorthair_18,8,cat,British_Shorthair
Ragdoll_62,2,cat,Ragdoll
Siamese_28,5,cat,Siamese
american_pit_bull_terrier_113,26,dog,american_pit_bull_terrier
american_pit_bull_terrier_172,26,dog,american_pit_bull_terrier
Egyptian_Mau_5,0,cat,Egyptian_Mau
miniature_pinscher_86,19,dog,miniature_pinscher
Sphynx_245,7,cat,Sphynx
keeshond_29,28,dog,keeshond
american_pit_bull_terrier_61,26,dog,american_pit_bull_terrier
Siamese_136,5,cat,Siamese
beagle_148,35,dog,beagle
beagle_133,35,dog,beagle
Persian_101,1,cat,Persian
boxer_52,17,dog,boxer
great_pyrenees_74,12,dog,great_pyrenees
pug_122,27,dog,pug
samoyed_191,16,dog,samoyed
boxer_51,17,dog,boxer
samoyed_177,16,dog,samoyed
leonberger_188,18,dog,leonberger
great_pyrenees_90,12,dog,great_pyrenees
wheaten_terrier_12,14,dog,wheaten_terrier
pomeranian_138,31,dog,pomeranian
beagle_183,35,dog,beagle
Sphynx_158,7,cat,Sphynx
boxer_169,17,dog,boxer
yorkshire_terrier_160,25,dog,yorkshire_terrier
Abyssinian_183,6,cat,Abyssinian
Russian_Blue_75,11,cat,Russian_Blue
samoyed_131,16,dog,samoyed
samoyed_159,16,dog,samoyed
Birman_86,10,cat,Birman
Maine_Coon_211,4,cat,Maine_Coon
Persian_182,1,cat,Persian
german_shorthaired_154,15,dog,german_shorthaired
yorkshire_terrier_77,25,dog,yorkshire_terrier
great_pyrenees_174,12,dog,great_pyrenees
english_cocker_spaniel_105,29,dog,english_cocker_spaniel
leonberger_150,18,dog,leonberger
american_pit_bull_terrier_81,26,dog,american_pit_bull_terrier
newfoundland_12,34,dog,newfoundland
boxer_31,17,dog,boxer
yorkshire_terrier_61,25,dog,yorkshire_terrier
keeshond_82,28,dog,keeshond
newfoundland_96,34,dog,newfoundland
chihuahua_100,23,dog,chihuahua
Bengal_81,9,cat,Bengal
staffordshire_bull_terrier_45,30,dog,staffordshire_bull_terrier
leonberger_192,18,dog,leonberger
wheaten_terrier_86,14,dog,wheaten_terrier
samoyed_179,16,dog,samoyed
Siamese_22,5,cat,Siamese
boxer_148,17,dog,boxer
english_cocker_spaniel_59,29,dog,english_cocker_spaniel
american_bulldog_144,36,dog,american_bulldog
Birman_133,10,cat,Birman
Persian_117,1,cat,Persian
beagle_174,35,dog,beagle
yorkshire_terrier_166,25,dog,yorkshire_terrier
Ragdoll_188,2,cat,Ragdoll
Egyptian_Mau_25,0,cat,Egyptian_Mau
scottish_terrier_37,24,dog,scottish_terrier
boxer_134,17,dog,boxer
newfoundland_29,34,dog,newfoundland
Ragdoll_208,2,cat,Ragdoll
shiba_inu_97,20,dog,shiba_inu
pomeranian_12,31,dog,pomeranian
beagle_113,35,dog,beagle
Egyptian_Mau_34,0,cat,Egyptian_Mau
Egyptian_Mau_223,0,cat,Egyptian_Mau
american_pit_bull_terrier_142,26,dog,american_pit_bull_terrier
newfoundland_95,34,dog,newfoundland
german_shorthaired_85,15,dog,german_shorthaired
shiba_inu_183,20,dog,shiba_inu
american_pit_bull_terrier_135,26,dog,american_pit_bull_terrier
english_setter_3,21,dog,english_setter
keeshond_102,28,dog,keeshond
Maine_Coon_41,4,cat,Maine_Coon
Bombay_74,3,cat,Bombay
havanese_23,13,dog,havanese
havanese_161,13,dog,havanese
Bombay_152,3,cat,Bombay
British_Shorthair_135,8,cat,British_Shorthair
american_bulldog_150,36,dog,american_bulldog
miniature_pinscher_107,19,dog,miniature_pinscher
american_pit_bull_terrier_116,26,dog,american_pit_bull_terrier
shiba_inu_36,20,dog,shiba_inu
leonberger_189,18,dog,leonberger
Ragdoll_160,2,cat,Ragdoll
japanese_chin_135,22,dog,japanese_chin
beagle_82,35,dog,beagle
Egyptian_Mau_186,0,cat,Egyptian_Mau
german_shorthaired_136,15,dog,german_shorthaired
american_pit_bull_terrier_73,26,dog,american_pit_bull_terrier
Ragdoll_130,2,cat,Ragdoll
Abyssinian_49,6,cat,Abyssinian
wheaten_terrier_6,14,dog,wheaten_terrier
newfoundland_198,34,dog,newfoundland
newfoundland_117,34,dog,newfoundland
boxer_123,17,dog,boxer
yorkshire_terrier_28,25,dog,yorkshire_terrier
scottish_terrier_111,24,dog,scottish_terrier
samoyed_155,16,dog,samoyed
english_setter_56,21,dog,english_setter
pomeranian_32,31,dog,pomeranian
saint_bernard_161,32,dog,saint_bernard
Egyptian_Mau_118,0,cat,Egyptian_Mau
Sphynx_133,7,cat,Sphynx
american_bulldog_167,36,dog,american_bulldog
beagle_176,35,dog,beagle
Abyssinian_45,6,cat,Abyssinian
pug_109,27,dog,pug
wheaten_terrier_120,14,dog,wheaten_terrier
Sphynx_29,7,cat,Sphynx
newfoundland_25,34,dog,newfoundland
german_shorthaired_68,15,dog,german_shorthaired
wheaten_terrier_128,14,dog,wheaten_terrier
Egyptian_Mau_54,0,cat,Egyptian_Mau
Persian_111,1,cat,Persian
Ragdoll_152,2,cat,Ragdoll
japanese_chin_189,22,dog,japanese_chin
Birman_113,10,cat,Birman
Egyptian_Mau_60,0,cat,Egyptian_Mau
samoyed_100,16,dog,samoyed
Siamese_162,5,cat,Siamese
english_setter_44,21,dog,english_setter
chihuahua_82,23,dog,chihuahua
Bengal_31,9,cat,Bengal
english_cocker_spaniel_94,29,dog,english_cocker_spaniel
american_pit_bull_terrier_87,26,dog,american_pit_bull_terrier
scottish_terrier_77,24,dog,scottish_terrier
beagle_155,35,dog,beagle
basset_hound_172,33,dog,basset_hound
staffordshire_bull_terrier_127,30,dog,staffordshire_bull_terrier
leonberger_108,18,dog,leonberger
newfoundland_126,34,dog,newfoundland
japanese_chin_16,22,dog,japanese_chin
pug_126,27,dog,pug
newfoundland_139,34,dog,newfoundland
Egyptian_Mau_197,0,cat,Egyptian_Mau
Abyssinian_223,6,cat,Abyssinian
english_cocker_spaniel_156,29,dog,english_cocker_spaniel
japanese_chin_23,22,dog,japanese_chin
staffordshire_bull_terrier_104,30,dog,staffordshire_bull_terrier
basset_hound_155,33,dog,basset_hound
pomeranian_180,31,dog,pomeranian
great_pyrenees_184,12,dog,great_pyrenees
american_pit_bull_terrier_99,26,dog,american_pit_bull_terrier
Persian_112,1,cat,Persian
British_Shorthair_199,8,cat,British_Shorthair
samoyed_113,16,dog,samoyed
great_pyrenees_62,12,dog,great_pyrenees
Siamese_126,5,cat,Siamese
Abyssinian_228,6,cat,Abyssinian
British_Shorthair_210,8,cat,British_Shorthair
Maine_Coon_132,4,cat,Maine_Coon
american_pit_bull_terrier_75,26,dog,american_pit_bull_terrier
great_pyrenees_198,12,dog,great_pyrenees
saint_bernard_128,32,dog,saint_bernard
Ragdoll_264,2,cat,Ragdoll
german_shorthaired_146,15,dog,german_shorthaired
english_setter_113,21,dog,english_setter
newfoundland_188,34,dog,newfoundland
Ragdoll_69,2,cat,Ragdoll
havanese_133,13,dog,havanese
Siamese_72,5,cat,Siamese
boxer_195,17,dog,boxer
Bengal_106,9,cat,Bengal
British_Shorthair_154,8,cat,British_Shorthair
boxer_180,17,dog,boxer
newfoundland_91,34,dog,newfoundland
beagle_112,35,dog,beagle
newfoundland_175,34,dog,newfoundland
yorkshire_terrier_60,25,dog,yorkshire_terrier
english_setter_188,21,dog,english_setter
newfoundland_199,34,dog,newfoundland
Maine_Coon_205,4,cat,Maine_Coon
pomeranian_189,31,dog,pomeranian
Egyptian_Mau_130,0,cat,Egyptian_Mau
wheaten_terrier_31,14,dog,wheaten_terrier
japanese_chin_109,22,dog,japanese_chin
staffordshire_bull_terrier_180,30,dog,staffordshire_bull_terrier
staffordshire_bull_terrier_92,30,dog,staffordshire_bull_terrier
pomeranian_181,31,dog,pomeranian
pomeranian_171,31,dog,pomeranian
beagle_99,35,dog,beagle
British_Shorthair_64,8,cat,British_Shorthair
Persian_263,1,cat,Persian
beagle_45,35,dog,beagle
Bengal_159,9,cat,Bengal
Russian_Blue_201,11,cat,Russian_Blue
pug_93,27,dog,pug
havanese_62,13,dog,havanese
german_shorthaired_18,15,dog,german_shorthaired
german_shorthaired_106,15,dog,german_shorthaired
great_pyrenees_63,12,dog,great_pyrenees
Abyssinian_219,6,cat,Abyssinian
american_bulldog_181,36,dog,american_bulldog
Russian_Blue_206,11,cat,Russian_Blue
saint_bernard_33,32,dog,saint_bernard
Sphynx_89,7,cat,Sphynx
yorkshire_terrier_125,25,dog,yorkshire_terrier
samoyed_130,16,dog,samoyed
beagle_182,35,dog,beagle
boxer_85,17,dog,boxer
saint_bernard_40,32,dog,saint_bernard
Egyptian_Mau_209,0,cat,Egyptian_Mau
miniature_pinscher_41,19,dog,miniature_pinscher
wheaten_terrier_96,14,dog,wheaten_terrier
keeshond_76,28,dog,keeshond
yorkshire_terrier_82,25,dog,yorkshire_terrier
samoyed_195,16,dog,samoyed
american_pit_bull_terrier_96,26,dog,american_pit_bull_terrier
shiba_inu_64,20,dog,shiba_inu
yorkshire_terrier_198,25,dog,yorkshire_terrier
great_pyrenees_13,12,dog,great_pyrenees
american_bulldog_175,36,dog,american_bulldog
great_pyrenees_120,12,dog,great_pyrenees
samoyed_53,16,dog,samoyed
chihuahua_77,23,dog,chihuahua
havanese_11,13,dog,havanese
english_setter_97,21,dog,english_setter
beagle_80,35,dog,beagle
Bombay_60,3,cat,Bombay
Bengal_153,9,cat,Bengal
Sphynx_105,7,cat,Sphynx
Egyptian_Mau_214,0,cat,Egyptian_Mau
Persian_255,1,cat,Persian
boxer_200,17,dog,boxer
japanese_chin_167,22,dog,japanese_chin
scottish_terrier_188,24,dog,scottish_terrier
Russian_Blue_239,11,cat,Russian_Blue
Egyptian_Mau_143,0,cat,Egyptian_Mau
British_Shorthair_151,8,cat,British_Shorthair
saint_bernard_94,32,dog,saint_bernard
saint_bernard_124,32,dog,saint_bernard
japanese_chin_26,22,dog,japanese_chin
german_shorthaired_171,15,dog,german_shorthaired
Bengal_84,9,cat,Bengal
Birman_147,10,cat,Birman
american_pit_bull_terrier_166,26,dog,american_pit_bull_terrier
havanese_84,13,dog,havanese
Ragdoll_44,2,cat,Ragdoll
american_bulldog_45,36,dog,american_bulldog
english_cocker_spaniel_119,29,dog,english_cocker_spaniel
Siamese_150,5,cat,Siamese
Maine_Coon_238,4,cat,Maine_Coon
keeshond_168,28,dog,keeshond
Abyssinian_225,6,cat,Abyssinian
Sphynx_240,7,cat,Sphynx
american_pit_bull_terrier_89,26,dog,american_pit_bull_terrier
american_pit_bull_terrier_121,26,dog,american_pit_bull_terrier
beagle_86,35,dog,beagle
wheaten_terrier_163,14,dog,wheaten_terrier
British_Shorthair_29,8,cat,British_Shorthair
miniature_pinscher_180,19,dog,miniature_pinscher
Persian_62,1,cat,Persian
Siamese_37,5,cat,Siamese
pug_27,27,dog,pug
shiba_inu_15,20,dog,shiba_inu
yorkshire_terrier_181,25,dog,yorkshire_terrier
japanese_chin_166,22,dog,japanese_chin
american_bulldog_124,36,dog,american_bulldog
Bombay_56,3,cat,Bombay
english_setter_65,21,dog,english_setter
Maine_Coon_72,4,cat,Maine_Coon
german_shorthaired_92,15,dog,german_shorthaired
english_setter_38,21,dog,english_setter
english_setter_66,21,dog,english_setter
beagle_130,35,dog,beagle
staffordshire_bull_terrier_69,30,dog,staffordshire_bull_terrier
chihuahua_172,23,dog,chihuahua
miniature_pinscher_134,19,dog,miniature_pinscher
Russian_Blue_128,11,cat,Russian_Blue
american_bulldog_115,36,dog,american_bulldog
Persian_61,1,cat,Persian
pug_176,27,dog,pug
american_pit_bull_terrier_104,26,dog,american_pit_bull_terrier
pomeranian_167,31,dog,pomeranian
Sphynx_39,7,cat,Sphynx
Egyptian_Mau_184,0,cat,Egyptian_Mau
pomeranian_68,31,dog,pomeranian
pug_180,27,dog,pug
samoyed_86,16,dog,samoyed
newfoundland_148,34,dog,newfoundland
keeshond_156,28,dog,keeshond
chihuahua_7,23,dog,chihuahua
newfoundland_121,34,dog,newfoundland
Abyssinian_11,6,cat,Abyssinian
german_shorthaired_26,15,dog,german_shorthaired
newfoundland_111,34,dog,newfoundland
german_shorthaired_23,15,dog,german_shorthaired
Abyssinian_55,6,cat,Abyssinian
chihuahua_103,23,dog,chihuahua
japanese_chin_30,22,dog,japanese_chin
Sphynx_12,7,cat,Sphynx
german_shorthaired_20,15,dog,german_shorthaired
newfoundland_49,34,dog,newfoundland
staffordshire_bull_terrier_12,30,dog,staffordshire_bull_terrier
Siamese_140,5,cat,Siamese
newfoundland_141,34,dog,newfoundland
Birman_151,10,cat,Birman
Egyptian_Mau_77,0,cat,Egyptian_Mau
Russian_Blue_88,11,cat,Russian_Blue
staffordshire_bull_terrier_128,30,dog,staffordshire_bull_terrier
samoyed_118,16,dog,samoyed
english_cocker_spaniel_139,29,dog,english_cocker_spaniel
Egyptian_Mau_160,0,cat,Egyptian_Mau
Siamese_179,5,cat,Siamese
english_setter_22,21,dog,english_setter
staffordshire_bull_terrier_46,30,dog,staffordshire_bull_terrier
Maine_Coon_76,4,cat,Maine_Coon
american_bulldog_37,36,dog,american_bulldog
Persian_105,1,cat,Persian
great_pyrenees_49,12,dog,great_pyrenees
Egyptian_Mau_46,0,cat,Egyptian_Mau
scottish_terrier_132,24,dog,scottish_terrier
english_cocker_spaniel_171,29,dog,english_cocker_spaniel
